"week_cut","pred","year","week","low","high","app"
2020-09-28,0.141030981934903,2020,39,2.99891754577747,0.141030981934903,"4"
2020-10-05,-3.46286053870902,2020,40,0.0595464312603733,-3.46286053870902,"4"
2020-10-12,-4.68250890674009,2020,41,0.311726232914399,-4.68250890674009,"4"
2020-10-19,1.30077646587673,2020,42,1.77759668828644,1.30077646587673,"4"
2020-10-26,0.876526028177037,2020,43,2.9459407685626,0.876526028177037,"4"
2020-11-02,-4.49409090551661,2020,44,0.589129986028265,-4.49409090551661,"4"
2020-11-09,-0.222369786502046,2020,45,3.15244139188906,-0.222369786502046,"4"
2020-11-16,2.50789690709395,2020,46,3.71256317964943,2.50789690709395,"4"
2020-11-23,-0.506509358113742,2020,47,1.836571646537,-0.506509358113742,"4"
2020-11-30,2.17127171696436,2020,48,3.00475565981031,2.17127171696436,"4"
2020-12-07,2.02577729585451,2020,49,2.160066116587,2.02577729585451,"4"
2020-12-14,1.83458428107429,2020,50,2.34930098795041,1.83458428107429,"4"
2020-12-21,-0.353515992272198,2020,51,2.21904763821264,-0.353515992272198,"4"
2020-12-28,-1.58731007260025,2020,52,0.646853642404696,-1.58731007260025,"4"
2021-01-04,-1.32968026351819,2021,1,1.30666191209818,-1.32968026351819,"4"
2021-01-11,2.79558596670765,2021,2,3.98975731163347,2.79558596670765,"4"
2021-01-18,-2.04677142524885,2021,3,0.786322851302429,-2.04677142524885,"4"
2021-01-25,0.442464971373759,2021,4,2.39484848692226,0.442464971373759,"4"
2021-02-01,2.85848894178106,2021,5,4.28975756224916,2.85848894178106,"4"
2021-02-08,1.4331136404278,2021,6,3.14262648902235,1.4331136404278,"4"
2021-02-15,-5.70595255854532,2021,7,0.309480064251498,-5.70595255854532,"4"
2021-02-22,-0.312837127936601,2021,8,1.24580818251104,-0.312837127936601,"4"
2021-03-01,-2.15571085777131,2021,9,0.190586812319068,-2.15571085777131,"4"
2021-03-08,-6.55145575223266,2021,10,0.565284807570937,-6.55145575223266,"4"
2021-03-15,2.11482517199669,2021,11,3.43297275594667,2.11482517199669,"4"
2021-03-22,5.59097165734069,2021,12,5.71085046292676,5.59097165734069,"4"
2021-03-29,-3.5949164914654,2021,13,0,-3.5949164914654,"4"
2021-04-05,1.77949909461938,2021,14,3.62225720364667,1.77949909461938,"4"
2021-04-12,1.15237071478316,2021,15,3.19419667563692,1.15237071478316,"4"
2021-04-19,-3.83212601994188,2021,16,0.863710304346115,-3.83212601994188,"4"
2021-04-26,0.914827853898561,2021,17,2.86984762040018,0.914827853898561,"4"
2021-05-03,2.33764615977827,2021,18,3.25480997690599,2.33764615977827,"4"
2021-05-10,2.70098371511092,2021,19,3.77503943602516,2.70098371511092,"4"
2021-05-17,0.0342101968822386,2021,20,2.22553579175354,0.0342101968822386,"4"
2021-05-24,5.19185539527985,2021,21,5.3554249754111,5.19185539527985,"4"
2021-05-31,0.675243828391888,2021,22,1.88468888914555,0.675243828391888,"4"
2021-06-07,3.14579188422958,2021,23,3.69394657941228,3.14579188422958,"4"
2021-06-14,-1.15515451833256,2021,24,0,-1.15515451833256,"4"
2020-06-15,103.151180628012,2020,24,103.151180628012,103.151180628012,"5"
2020-06-22,105.306041572415,2020,25,105.306041572415,105.306041572415,"5"
2020-06-29,67.2233534012764,2020,26,67.4708007533107,67.2233534012764,"5"
2020-07-06,48.8920165526208,2020,27,60.7397740348331,48.8920165526208,"5"
2020-07-13,121.072666563182,2020,28,121.072666563182,121.072666563182,"5"
2020-07-20,89.1443387727164,2020,29,89.1443387727164,89.1443387727164,"5"
2020-07-27,64.8215911405885,2020,30,66.330382699732,64.8215911405885,"5"
2020-08-03,64.2596722294571,2020,31,64.2596722294571,64.2596722294571,"5"
2020-08-10,76.3841391358578,2020,32,76.8803302985916,76.3841391358578,"5"
2020-08-17,98.0540237106304,2020,33,98.0540237106304,98.0540237106304,"5"
2020-08-24,82.7385235850828,2020,34,82.7385235850828,82.7385235850828,"5"
2020-08-31,72.2158933213567,2020,35,72.2158933213567,72.2158933213567,"5"
2020-09-07,31.580762723498,2020,36,37.6675674297594,31.580762723498,"5"
2020-09-14,19.3277852134067,2020,37,30.3189462727552,19.3277852134067,"5"
2020-09-21,33.7533261544092,2020,38,42.8000563465136,33.7533261544092,"5"
2020-09-28,38.858366042446,2020,39,48.9010963157228,38.858366042446,"5"
2020-10-05,11.6413043901014,2020,40,16.2144336682547,11.6413043901014,"5"
2020-10-12,3.042547292337,2020,41,21.0839850902562,3.042547292337,"5"
2020-10-19,59.2353253850322,2020,42,59.2353253850322,59.2353253850322,"5"
2020-10-26,52.7255110618004,2020,43,56.1893062472259,52.7255110618004,"5"
2020-11-02,8.68178284054372,2020,44,30.8703146599407,8.68178284054372,"5"
2020-11-09,51.6161950411456,2020,45,58.5267598654695,51.6161950411456,"5"
2020-11-16,78.2010015522024,2020,46,78.2010015522024,78.2010015522024,"5"
2020-11-23,51.2035502428665,2020,47,54.4602761894681,51.2035502428665,"5"
2020-11-30,68.2016534918145,2020,48,68.2016534918145,68.2016534918145,"5"
2020-12-07,66.7986843263634,2020,49,66.7986843263634,66.7986843263634,"5"
2020-12-14,63.0613974845543,2020,50,63.0613974845543,63.0613974845543,"5"
2020-12-21,35.0524152214387,2020,51,43.994534928924,35.0524152214387,"5"
2020-12-28,20.0319937841185,2020,52,22.5709068707645,20.0319937841185,"5"
2021-01-04,16.8568782958296,2021,1,31.6761419127482,16.8568782958296,"5"
2021-01-11,59.8420373328837,2021,2,64.5492256348857,59.8420373328837,"5"
2021-01-18,21.1295636126427,2021,3,30.7305543331151,21.1295636126427,"5"
2021-01-25,38.208882174887,2021,4,40.3912774950234,38.208882174887,"5"
2021-02-01,61.3789438089729,2021,5,63.4684484027165,61.3789438089729,"5"
2021-02-08,36.7447470217083,2021,6,39.7027537173898,36.7447470217083,"5"
2021-02-15,-24.2890037967057,2021,7,9.71951256799154,-24.2890037967057,"5"
2021-02-22,24.6863449146515,2021,8,26.1857520322634,24.6863449146515,"5"
2021-03-01,5.53102712796016,2021,9,12.7804964684971,5.53102712796016,"5"
2021-03-08,-30.6164451994429,2021,10,9.06946230799351,-30.6164451994429,"5"
2021-03-15,49.9907058003937,2021,11,50.8110019295413,49.9907058003937,"5"
2021-03-22,82.1140667230253,2021,12,82.1140667230253,82.1140667230253,"5"
2021-03-29,-6.35430151722879,2021,13,6.24506183235006,-6.35430151722879,"5"
2021-04-05,40.9999450805663,2021,14,48.7520389052534,40.9999450805663,"5"
2021-04-12,47.241461581853,2021,15,49.6193705069957,47.241461581853,"5"
2021-04-19,4.60670958729899,2021,16,28.0873383087624,4.60670958729899,"5"
2021-04-26,43.3414991310229,2021,17,46.2937575533161,43.3414991310229,"5"
