"day_cut","sentiment","year","day","app"
2017-01-17,-0.03,2017,17,"2"
2017-01-18,0.37,2017,18,"2"
2017-01-19,0.41,2017,19,"2"
2017-01-20,-0.11,2017,20,"2"
2017-01-21,0.28,2017,21,"2"
2017-01-22,0.28,2017,22,"2"
2017-01-23,0.33,2017,23,"2"
2017-01-24,0,2017,24,"2"
2017-01-25,0.11,2017,25,"2"
2017-01-26,0.26,2017,26,"2"
2017-01-27,0.07,2017,27,"2"
2017-01-28,0.21,2017,28,"2"
2017-01-29,-0.02,2017,29,"2"
2017-01-30,0.22,2017,30,"2"
2017-01-31,0.44,2017,31,"2"
2017-02-01,0.48,2017,1,"2"
2017-02-02,0.15,2017,2,"2"
2017-02-03,-0.08,2017,3,"2"
2017-02-04,-0.1,2017,4,"2"
2017-02-05,0.23,2017,5,"2"
2017-02-06,0.13,2017,6,"2"
2017-02-07,0.41,2017,7,"2"
2017-02-08,0.03,2017,8,"2"
2017-02-09,0.13,2017,9,"2"
2017-02-10,-0.68,2017,10,"2"
2017-02-11,0.47,2017,11,"2"
2017-02-12,0.16,2017,12,"2"
2017-02-13,0.06,2017,13,"2"
2017-02-14,0.13,2017,14,"2"
2017-02-15,-0.06,2017,15,"2"
2017-02-16,-0.07,2017,16,"2"
2017-02-17,0.25,2017,17,"2"
2017-02-18,0.23,2017,18,"2"
2017-02-19,0,2017,19,"2"
2017-02-20,0.31,2017,20,"2"
2017-02-21,-0.05,2017,21,"2"
2017-02-22,0.09,2017,22,"2"
2017-02-23,0.11,2017,23,"2"
2017-02-24,0.18,2017,24,"2"
2017-02-25,0.2,2017,25,"2"
2017-02-26,0.12,2017,26,"2"
2017-02-27,0,2017,27,"2"
2017-02-28,0.25,2017,28,"2"
2017-03-01,0.18,2017,1,"2"
2017-03-02,0.29,2017,2,"2"
2017-03-03,0.03,2017,3,"2"
2017-03-04,0.39,2017,4,"2"
2017-03-05,0.26,2017,5,"2"
2017-03-06,0.07,2017,6,"2"
2017-03-07,0.32,2017,7,"2"
2017-03-08,0.07,2017,8,"2"
2017-03-09,0.07,2017,9,"2"
2017-03-10,0.14,2017,10,"2"
2017-03-11,0.18,2017,11,"2"
2017-03-12,-0.09,2017,12,"2"
2017-03-13,0.1,2017,13,"2"
2017-03-14,-0.04,2017,14,"2"
2017-03-15,0.26,2017,15,"2"
2017-03-16,0.03,2017,16,"2"
2017-03-17,0.25,2017,17,"2"
2017-03-18,0.34,2017,18,"2"
2017-03-19,0,2017,19,"2"
2017-03-20,-0.01,2017,20,"2"
2017-03-21,0.32,2017,21,"2"
2017-03-22,0.09,2017,22,"2"
2017-03-23,0.1,2017,23,"2"
2017-03-24,0.23,2017,24,"2"
2017-03-25,-0.03,2017,25,"2"
2017-03-26,0.17,2017,26,"2"
2017-03-27,0.2,2017,27,"2"
2017-03-28,0.08,2017,28,"2"
2017-03-29,0.06,2017,29,"2"
2017-03-30,0.15,2017,30,"2"
2017-03-31,0.27,2017,31,"2"
2017-04-01,0.38,2017,1,"2"
2017-04-02,0.32,2017,2,"2"
2017-04-03,0.35,2017,3,"2"
2017-04-04,-0.08,2017,4,"2"
2017-04-05,0.24,2017,5,"2"
2017-04-06,0.16,2017,6,"2"
2017-04-07,0.33,2017,7,"2"
2017-04-08,0.35,2017,8,"2"
2017-04-09,0.04,2017,9,"2"
2017-04-10,0.05,2017,10,"2"
2017-04-11,0.23,2017,11,"2"
2017-04-12,0.2,2017,12,"2"
2017-04-13,-0.08,2017,13,"2"
2017-04-14,0.19,2017,14,"2"
2017-04-15,-0.04,2017,15,"2"
2017-04-16,0.29,2017,16,"2"
2017-04-17,0.11,2017,17,"2"
2017-04-18,0.33,2017,18,"2"
2017-04-19,-0.07,2017,19,"2"
2017-04-20,0.06,2017,20,"2"
2017-04-21,0.11,2017,21,"2"
2017-04-22,0.07,2017,22,"2"
2017-04-23,-0.05,2017,23,"2"
2017-04-24,0.41,2017,24,"2"
2017-04-25,0.04,2017,25,"2"
2017-04-26,0.12,2017,26,"2"
2017-04-27,0.34,2017,27,"2"
2017-04-28,0.41,2017,28,"2"
2017-04-29,0.22,2017,29,"2"
2017-04-30,0.2,2017,30,"2"
2017-05-01,-0.02,2017,1,"2"
2017-05-02,0.13,2017,2,"2"
2017-05-03,0.11,2017,3,"2"
2017-05-04,0.25,2017,4,"2"
2017-05-05,0.16,2017,5,"2"
